,Size,Value,Momentum,Profitability,Investment
2015-04-01,0.0,4.815340852542846e-19,0.10727723932981613,0.892722760670184,5.701864293058279e-17
2015-05-01,0.4816210184813836,0.0775937908710032,0.0,3.447762908503904e-17,0.4407851906476132
2015-06-01,0.4880456730590766,0.07350725217656971,1.0625181290357943e-17,0.0,0.43844707476435374
2015-07-01,0.506475256039686,0.08565964424198165,0.0,0.0,0.4078650997183323
2015-08-01,0.4950487205891899,0.05571680053172931,0.0,2.2985086056692694e-17,0.4492344788790807
2015-09-01,3.32959474063609e-17,0.0,0.1602047950077513,0.8397952049922485,1.9658474608181768e-16
2015-10-01,8.048083832681848e-17,0.0,0.17739272776601964,0.8226072722339801,1.8989667622958982e-16
2015-11-01,2.291161244248624e-17,0.0,0.1573932077030067,0.8426067922969933,9.559340794228534e-19
2015-12-01,7.508901811147498e-17,0.0,0.1827735875904883,0.8172264124095117,0.0
2016-01-01,9.266474753519884e-17,0.0,0.19743199340201412,0.8025680065979858,0.0
2016-02-01,4.2862694277980404e-17,1.3803537376856814e-17,0.19222930856884615,0.8077706914311539,0.0
2016-03-01,0.0,2.7313206407056286e-18,0.1571401724378563,0.8428598275621437,0.0
2016-04-01,0.43679711567650736,0.0,3.978344346663997e-17,2.742692683209424e-17,0.5632028843234925
2016-05-01,0.4637101662124912,0.03181263976272057,2.6068285984698347e-17,1.7639969346339157e-16,0.504477194024788
2016-06-01,0.44246596442542474,0.0311334377501582,5.0306980803327406e-17,0.0,0.526400597824417
2016-07-01,0.435205992579603,0.0,3.850950591396951e-17,7.551129318182637e-17,0.564794007420397
2016-08-01,0.45023888102572623,0.0,4.838252194716563e-18,1.278003310817288e-16,0.5497611189742736
2016-09-01,0.458511552361915,0.03316571470494417,4.7704895589362195e-18,0.0,0.5083227329331408
2016-10-01,0.4651676536507996,0.015370173190077354,0.0,0.0,0.5194621731591231
2016-11-01,0.44613065723929723,0.0761021413676927,3.508749280706214e-17,0.0,0.47776720139301015
2016-12-01,0.4579887595505396,0.13685746639119695,2.6020852139652106e-18,1.1762577131931018e-16,0.40515377405826347
2017-01-01,0.46107711028882314,0.19252399798833708,0.0,2.0860049798621105e-16,0.3463988917228396
2017-02-01,0.4585492435032636,0.166133349181767,0.0,0.0,0.37531740731496926
2017-03-01,0.4557454601284426,0.17022292234153524,6.7220534694101275e-18,0.0,0.37403161753002223
2017-04-01,0.4619913530652982,0.13494897236797887,0.0,0.0,0.4030596745667231
2017-05-01,0.46981469380028285,0.12826806790559733,0.0,0.0,0.40191723829411985
2017-06-01,0.29193302212202227,0.20541629788414587,0.45741339579569007,0.04523728419814174,9.107298248878237e-18
2017-07-01,0.29986026424476925,0.21661557261576642,0.4584177627132309,0.025106400426233275,0.0
2017-08-01,0.2937364285180616,0.22137898961307514,0.4643006133048304,0.020583968564032936,6.179952383167375e-18
2017-09-01,0.2881608746327228,0.21381518328857818,0.47238453893892673,0.025639403139772317,0.0
2017-10-01,0.3009732154501354,0.2264484427832272,0.46736479201570336,0.005213549750934129,0.0
2017-11-01,0.29023968096805464,0.2279800438282063,0.4764893767689391,0.005290898434800005,0.0
2017-12-01,0.28713880354136556,0.21663097809750584,0.46693451256075297,0.02929570580037561,9.54097911787244e-18
2018-01-01,0.2840393061400591,0.21596782658302252,0.4611640161386504,0.03882885113826799,0.0
2018-02-01,0.27284587307758906,0.218293901172948,0.47395828165304293,0.0349019440964199,1.1275702593849243e-17
2018-03-01,1.0757542703541387e-17,0.0,0.211905807820494,0.7880941921795057,1.217105741099163e-16
2018-04-01,2.129336697728511e-17,0.07442398663896545,0.4114270948791095,0.0,0.5141489184819251
2018-05-01,5.430543460228411e-18,0.06131833738661195,0.4068738169229976,6.955427967865408e-17,0.5318078456903904
2018-06-01,2.4825341532472732e-17,0.041502277639863375,0.42016964018587,0.0,0.5383280821742665
2018-07-01,1.9782694033689166e-17,2.4833267717150935e-17,0.40780616797227154,1.6569772243512374e-18,0.5921938320277284
2018-08-01,0.30947642230593064,0.19465673077802675,0.46367012868679247,0.03219671822925006,0.0
2018-09-01,0.327237128662631,0.17173193757809013,0.46756941871048274,0.033461515048796193,1.7774139365184238e-17
2018-10-01,0.3073671200908978,0.17135684084648597,0.47372828935120237,0.04754774971141374,0.0
